time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0;-0,01;-0,01;-1,52E-06;
1,00E-07;-0,0100014;-0,00999974;-1,37E-06;
2,00E-07;-0,0100042;-0,00999908;-9,63E-07;
4,00E-07;-0,0100118;-0,00999666;4,99E-07;
8,00E-07;-0,0100372;-0,00998316;7,73E-06;
1,60E-06;-0,0101161;-0,00991521;3,37E-05;
3,20E-06;-0,0103743;-0,00965006;8,97E-05;
5,03E-06;-0,0108214;-0,00920227;0,000144978;
8,70E-06;-0,0120129;-0,00801371;0,000260679;
1,38E-05;-0,0140064;-0,00601597;0,000415989;
2,38E-05;-0,0183565;-0,00166854;0,000713166;
3,38E-05;-0,0228408;0,00282018;0,000998448;
4,38E-05;-0,0273301;0,00730734;0,00126955;
5,38E-05;-0,0318157;0,0117968;0,00152962;
6,38E-05;-0,0363029;0,0162824;0,00177526;
7,38E-05;-0,0407865;0,0207692;0,00201041;
8,38E-05;-0,0452707;0,0252524;0,00223117;
9,38E-05;-0,0497514;0,0297358;0,00244172;
0,000103755;-0,0542318;0,0342157;0,00263815;
0,000113755;-0,0587088;0,0386947;0,00282443;
0,000123755;-0,0631844;0,0431705;0,00299703;
0,000133755;-0,0676568;0,0476443;0,00315943;
0,000143755;-0,0721269;0,052115;0,00330866;
0,000153755;-0,0765939;0,056583;0,00344756;
0,000163755;-0,0810576;0,0610477;0,00357385;
0,000173755;-0,0855181;0,0655089;0,00368965;
0,000183755;-0,0899748;0,0699668;0,00379341;
0,000193755;-0,094428;0,0744204;0,00388655;
0,000203755;-0,0988767;0,0788705;0,00396816;
0,000213755;-0,103322;0,0833158;0,00403906;
0,000223755;-0,107762;0,0877572;0,00409889;
0,000233755;-0,112198;0,0921934;0,00414796;
0,000243755;-0,116628;0,0966252;0,00418637;
0,000253755;-0,121054;0,101051;0,00421405;
0,000263755;-0,125474;0,105473;0,0042314;
0,000273755;-0,129889;0,109888;0,00423809;
0,000283755;-0,134298;0,114298;0,00423473;
0,000293755;-0,138701;0,118702;0,00422083;
0,000303755;-0,143098;0,1231;0,00419711;
0,000313755;-0,147489;0,127491;0,00416303;
0,000323755;-0,151873;0,131876;0,0041193;
0,000333755;-0,15625;0,136254;0,00406541;
0,000343755;-0,160621;0,140626;0,00400203;
0,000353755;-0,164984;0,144989;0,00392869;
0,000363755;-0,169339;0,149346;0,00384601;
0,000373755;-0,173688;0,153695;0,0037536;
0,000383755;-0,178028;0,158036;0,00365196;
0,000393755;-0,18236;0,162369;0,00354083;
0,000403755;-0,186684;0,166694;0,00342059;
0,000413755;-0,191;0,17101;0,00329108;
0,000423755;-0,195307;0,175318;0,00315258;
0,000433755;-0,199605;0,179617;0,00300503;
0,000443755;-0,203894;0,183907;0,00284861;
0,000453755;-0,208174;0,188187;0,00268336;
0,000463755;-0,212444;0,192458;0,00250937;
0,000473755;-0,216705;0,19672;0,00232673;
0,000483755;-0,220956;0,200971;0,0021355;
0,000493755;-0,225196;0,205213;0,00193581;
0,000503755;-0,229427;0,209444;0,00172766;
0,000513755;-0,233647;0,213664;0,00151123;
0,000523755;-0,237856;0,217874;0,0012865;
0,000533755;-0,242055;0,222073;0,00105365;
0,000543755;-0,246242;0,226261;0,000812658;
0,000553755;-0,250418;0,230438;0,000563696;
0,000563755;-0,254583;0,234603;0,00030675;
0,000573755;-0,258735;0,238757;4,20E-05;
0,000583755;-0,262877;0,242899;-0,000230601;
0,000593755;-0,267005;0,247028;-0,000510861;
0,000603755;-0,271122;0,251145;-0,000798784;
0,000613755;-0,275226;0,25525;-0,00109424;
0,000623755;-0,279318;0,259342;-0,0013972;
0,000633755;-0,283396;0,263422;-0,00170754;
0,000643755;-0,287462;0,267488;-0,00202524;
0,000653755;-0,291514;0,271541;-0,00235019;
0,000663755;-0,295553;0,27558;-0,00268233;
0,000673755;-0,299579;0,279606;-0,00302159;
0,000683755;-0,30359;0,283618;-0,00336789;
0,000693755;-0,307587;0,287616;-0,00372117;
0,000703755;-0,311571;0,2916;-0,00408135;
0,000713755;-0,315539;0,295569;-0,00444836;
0,000723755;-0,319494;0,299524;-0,00482213;
0,000733755;-0,323433;0,303464;-0,00520259;
0,000743755;-0,327357;0,307389;-0,00558968;
0,000753755;-0,331267;0,311299;-0,00598332;
0,000763755;-0,335161;0,315193;-0,00638344;
0,000773755;-0,339039;0,319072;-0,00678999;
0,000783755;-0,342902;0,322936;-0,00720288;
0,000793755;-0,346749;0,326783;-0,00762206;
0,000803755;-0,350579;0,330614;-0,00804746;
0,000813755;-0,354394;0,334429;-0,008479;
0,000823755;-0,358192;0,338228;-0,00891663;
0,000833755;-0,361973;0,34201;-0,00936028;
0,000843755;-0,365738;0,345775;-0,00980988;
0,000853755;-0,369485;0,349523;-0,0102654;
0,000863755;-0,373216;0,353254;-0,0107267;
0,000873755;-0,376929;0,356967;-0,0111938;
0,000883755;-0,380624;0,360663;-0,0116665;
0,000893755;-0,384302;0,364342;-0,0121449;
0,000903755;-0,387962;0,368002;-0,0126289;
0,000913755;-0,391604;0,371644;-0,0131184;
0,000923755;-0,395227;0,375268;-0,0136133;
0,000933755;-0,398833;0,378874;-0,0141137;
0,000943755;-0,402419;0,382461;-0,0146193;
0,000953755;-0,405987;0,38603;-0,0151302;
0,000963755;-0,409536;0,389579;-0,0156463;
0,000973755;-0,413066;0,39311;-0,0161675;
0,000983755;-0,416577;0,396621;-0,0166939;
0,000993755;-0,420068;0,400112;-0,0172252;
0,00100376;-0,42354;0,403585;-0,0177615;
0,00101376;-0,426992;0,407037;-0,0183027;
0,00102376;-0,430424;0,410469;-0,0188488;
0,00103376;-0,433836;0,413882;-0,0193996;
0,00104376;-0,437227;0,417274;-0,0199552;
0,00105376;-0,440599;0,420646;-0,0205154;
0,00106376;-0,443949;0,423997;-0,0210803;
0,00107376;-0,447279;0,427327;-0,0216497;
0,00108376;-0,450588;0,430637;-0,0222236;
0,00109376;-0,453876;0,433925;-0,0228019;
0,00110376;-0,457143;0,437192;-0,0233846;
0,00111376;-0,460389;0,440438;-0,0239717;
0,00112376;-0,463613;0,443662;-0,024563;
0,00113376;-0,466815;0,446865;-0,0251586;
0,00114376;-0,469996;0,450046;-0,0257583;
0,00115376;-0,473154;0,453205;-0,0263621;
0,00116376;-0,47629;0,456342;-0,02697;
0,00117376;-0,479404;0,459456;-0,0275819;
0,00118376;-0,482496;0,462548;-0,0281977;
0,00119376;-0,485565;0,465618;-0,0288174;
0,00120376;-0,488612;0,468664;-0,029441;
0,00121376;-0,491635;0,471688;-0,0300683;
0,00122376;-0,494636;0,474689;-0,0306994;
0,00123376;-0,497613;0,477667;-0,0313341;
0,00124376;-0,500567;0,480621;-0,0319725;
0,00125376;-0,503498;0,483552;-0,0326145;
0,00126376;-0,506405;0,48646;-0,03326;
0,00127376;-0,509288;0,489344;-0,0339089;
0,00128376;-0,512148;0,492203;-0,0345613;
0,00129376;-0,514983;0,495039;-0,035217;
0,00130376;-0,517795;0,497851;-0,0358761;
0,00131376;-0,520582;0,500638;-0,0365385;
0,00132376;-0,523345;0,503402;-0,037204;
0,00133376;-0,526083;0,50614;-0,0378728;
0,00134376;-0,528797;0,508854;-0,0385446;
0,00135376;-0,531485;0,511543;-0,0392195;
0,00136376;-0,534149;0,514207;-0,0398975;
0,00137376;-0,536788;0,516846;-0,0405784;
0,00138376;-0,539402;0,51946;-0,0412623;
0,00139376;-0,54199;0,522049;-0,041949;
0,00140376;-0,544553;0,524612;-0,0426385;
0,00141376;-0,547091;0,52715;-0,0433309;
0,00142376;-0,549602;0,529662;-0,0440259;
0,00143376;-0,552089;0,532149;-0,0447237;
0,00144376;-0,554549;0,534609;-0,0454241;
0,00145376;-0,556983;0,537043;-0,046127;
0,00146376;-0,559391;0,539452;-0,0468326;
0,00147376;-0,561773;0,541834;-0,0475406;
0,00148376;-0,564128;0,544189;-0,048251;
0,00149376;-0,566457;0,546519;-0,0489639;
0,00150376;-0,568759;0,548821;-0,0496791;
0,00151376;-0,571035;0,551097;-0,0503967;
0,00152376;-0,573284;0,553346;-0,0511165;
0,00153376;-0,575506;0,555568;-0,0518385;
0,00154376;-0,577701;0,557764;-0,0525627;
0,00155376;-0,579868;0,559932;-0,0532891;
0,00156376;-0,582009;0,562072;-0,0540175;
0,00157376;-0,584122;0,564186;-0,054748;
0,00158376;-0,586208;0,566272;-0,0554804;
0,00159376;-0,588266;0,568331;-0,0562149;
0,00160376;-0,590297;0,570362;-0,0569512;
0,00161376;-0,5923;0,572365;-0,0576894;
0,00162376;-0,594275;0,57434;-0,0584294;
0,00163376;-0,596223;0,576288;-0,0591712;
0,00164376;-0,598142;0,578207;-0,0599148;
0,00165376;-0,600033;0,580098;-0,06066;
0,00166376;-0,601896;0,581962;-0,0614069;
0,00167376;-0,603731;0,583796;-0,0621554;
0,00168376;-0,605537;0,585603;-0,0629055;
0,00169376;-0,607315;0,587381;-0,0636571;
0,00170376;-0,609064;0,589131;-0,0644102;
0,00171376;-0,610785;0,590852;-0,0651647;
0,00172376;-0,612477;0,592544;-0,0659206;
0,00173376;-0,61414;0,594207;-0,0666779;
0,00174376;-0,615775;0,595842;-0,0674365;
0,00175376;-0,61738;0,597447;-0,0681964;
0,00176376;-0,618956;0,599024;-0,0689576;
0,00177376;-0,620504;0,600572;-0,0697199;
0,00178376;-0,622022;0,60209;-0,0704834;
0,00179376;-0,623511;0,603579;-0,071248;
0,00180376;-0,624971;0,605039;-0,0720136;
0,00181376;-0,626401;0,606469;-0,0727803;
0,00182376;-0,627802;0,60787;-0,073548;
0,00183376;-0,629173;0,609242;-0,0743167;
0,00184376;-0,630515;0,610584;-0,0750863;
0,00185376;-0,631827;0,611896;-0,0758568;
0,00186376;-0,633109;0,613178;-0,0766281;
0,00187376;-0,634362;0,614431;-0,0774002;
0,00188376;-0,635585;0,615654;-0,0781731;
0,00189376;-0,636778;0,616847;-0,0789467;
0,00190376;-0,637941;0,61801;-0,079721;
